"aviLabel","taxon","aviId","avidb_link"
"Anser canagicus","http://purl.obolibrary.org/obo/NCBITaxon_107021","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-1E6F0F8D","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-1E6F0F8D"
"Anser rossii","http://purl.obolibrary.org/obo/NCBITaxon_56281","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-7A24F57F","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-7A24F57F"
"Anser caerulescens","http://purl.obolibrary.org/obo/NCBITaxon_8849","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-D3A260BC","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-D3A260BC"
"Anser anser","http://purl.obolibrary.org/obo/NCBITaxon_8843","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-4AED44E8","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-4AED44E8"
"Anser cygnoides","http://purl.obolibrary.org/obo/NCBITaxon_8845","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-946E4517","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-946E4517"
"Anser erythropus","http://purl.obolibrary.org/obo/NCBITaxon_132586","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-184D2329","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-184D2329"
"Anser albifrons","http://purl.obolibrary.org/obo/NCBITaxon_50365","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-466E9077","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-466E9077"
"Anser serrirostris","http://purl.obolibrary.org/obo/NCBITaxon_2606890","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-AD849FCB","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-AD849FCB"
"Anser brachyrhynchus","http://purl.obolibrary.org/obo/NCBITaxon_132585","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-AFA7EE74","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-AFA7EE74"
"Anser fabalis","http://purl.obolibrary.org/obo/NCBITaxon_132587","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-BDB497A3","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-BDB497A3"
"Merganetta armata","http://purl.obolibrary.org/obo/NCBITaxon_658919","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-C1068510","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-C1068510"
"Callonetta leucophrys","http://purl.obolibrary.org/obo/NCBITaxon_75871","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-45C1096F","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-45C1096F"
"Cairina moschata","http://purl.obolibrary.org/obo/NCBITaxon_8855","http://kenshih.com/master-birder/ontology#AvibaseID_avibase-8DE14046","https://avibase.bsc-eoc.org/species.jsp?avibaseid=avibase-8DE14046"
